bloque,bloque_nombre,familia,parametro,subescala,instrumento,N,n,R,shapiro_wilk,anderson_darling,lilliefors,jarque_bera,dagostino_pearson,cramer_von_mises,shapiro_francia,pearson_chi2,curtosis,sstn,shapiro_wilk_na,anderson_darling_na,lilliefors_na,jarque_bera_na,dagostino_pearson_na,cramer_von_mises_na,shapiro_francia_na,pearson_chi2_na,curtosis_na,sstn_na,segundos
1,Replica directa (8 familias),chi2,3,NA,NA,NA,10,10000,0.3099,0.2864,0.2134,0.0986,NA,0.265,0.3095,0.2587,0.1718,0.2875,0,0,0,0,10000,0,0,0,0,0,42.85483717918396
1,Replica directa (8 familias),chi2,3,NA,NA,NA,25,10000,0.7785,0.7049,0.5044,0.4684,0.5695,0.647,0.7387,0.5402,0.3257,0.7211,0,0,0,0,0,0,0,0,0,0,45.9746732711792
1,Replica directa (8 familias),chi2,3,NA,NA,NA,50,10000,0.9877,0.9661,0.8279,0.8622,0.8833,0.9322,0.9789,0.8556,0.516,0.9668,0,0,0,0,0,0,0,0,0,0,47.26866507530213
1,Replica directa (8 familias),chi2,3,NA,NA,NA,100,10000,1,0.9999,0.9925,0.9985,0.9989,0.9993,1,0.9953,0.7623,0.9998,0,0,0,0,0,0,0,0,0,0,49.75201916694641
1,Replica directa (8 familias),chi2,3,NA,NA,NA,250,10000,1,1,1,1,1,1,1,1,0.9748,1,0,0,0,0,0,0,0,0,0,0,59.78371548652649
1,Replica directa (8 familias),chi2,3,NA,NA,NA,500,10000,1,1,1,1,1,1,1,1,0.9998,1,0,0,0,0,0,0,0,0,0,0,72.93412590026855
1,Replica directa (8 familias),chi2,6,NA,NA,NA,10,10000,0.1719,0.1609,0.1291,0.0543,NA,0.147,0.1777,0.1392,0.112,0.1685,0,0,0,0,10000,0,0,0,0,0,41.8151216506958
1,Replica directa (8 familias),chi2,6,NA,NA,NA,25,10000,0.4704,0.4006,0.2795,0.2792,0.3683,0.3598,0.4436,0.231,0.1996,0.4459,0,0,0,0,0,0,0,0,0,0,45.1291937828064
1,Replica directa (8 familias),chi2,6,NA,NA,NA,50,10000,0.8211,0.7173,0.5111,0.6042,0.6526,0.6509,0.7845,0.3934,0.3245,0.7755,0,0,0,0,0,0,0,0,0,0,46.56365370750427
1,Replica directa (8 familias),chi2,6,NA,NA,NA,100,10000,0.9918,0.9626,0.829,0.9419,0.9489,0.9307,0.9859,0.7144,0.4988,0.9818,0,0,0,0,0,0,0,0,0,0,48.816465854644775
1,Replica directa (8 familias),chi2,6,NA,NA,NA,250,10000,1,1,0.9976,1,1,0.9999,1,0.9939,0.7969,1,0,0,0,0,0,0,0,0,0,0,56.72223401069641
1,Replica directa (8 familias),chi2,6,NA,NA,NA,500,10000,1,1,1,1,1,1,1,1,0.9657,1,0,0,0,0,0,0,0,0,0,0,71.80761432647705
